iso_code,entity,year,population,source
ITA,Italy,2021,60367471,https://population.un.org/wpp/Download/Standard/CSV/
JAM,Jamaica,2021,2973462,https://population.un.org/wpp/Download/Standard/CSV/
JPN,Japan,2021,126050796,https://population.un.org/wpp/Download/Standard/CSV/
JEY,Jersey,2021,101073,https://population.un.org/wpp/Download/Standard/CSV/
JOR,Jordan,2021,10269022,https://population.un.org/wpp/Download/Standard/CSV/
KAZ,Kazakhstan,2021,18994958,https://population.un.org/wpp/Download/Standard/CSV/
KEN,Kenya,2021,54985702,https://population.un.org/wpp/Download/Standard/CSV/
KIR,Kiribati,2021,121388,https://population.un.org/wpp/Download/Standard/CSV/
OWID_KOS,Kosovo,2021,1782115,https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
KWT,Kuwait,2021,4328553,https://population.un.org/wpp/Download/Standard/CSV/
KGZ,Kyrgyzstan,2021,6628347,https://population.un.org/wpp/Download/Standard/CSV/
LAO,Laos,2021,7379358,https://population.un.org/wpp/Download/Standard/CSV/
LVA,Latvia,2021,1866934,https://population.un.org/wpp/Download/Standard/CSV/
LBN,Lebanon,2021,6769151,https://population.un.org/wpp/Download/Standard/CSV/
LSO,Lesotho,2021,2159067,https://population.un.org/wpp/Download/Standard/CSV/
LBR,Liberia,2021,5180208,https://population.un.org/wpp/Download/Standard/CSV/
LBY,Libya,2021,6958538,https://population.un.org/wpp/Download/Standard/CSV/
LIE,Liechtenstein,2021,38254,https://population.un.org/wpp/Download/Standard/CSV/
LTU,Lithuania,2021,2689862,https://population.un.org/wpp/Download/Standard/CSV/
OWID_LIC,Low income,2021,665149040,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=XM-XD-XT-XN
OWID_LMC,Lower middle income,2021,3330652550,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=XM-XD-XT-XN
LUX,Luxembourg,2021,634814,https://population.un.org/wpp/Download/Standard/CSV/
MAC,Macao,2021,658391,https://population.un.org/wpp/Download/Standard/CSV/
MDG,Madagascar,2021,28427333,https://population.un.org/wpp/Download/Standard/CSV/
MWI,Malawi,2021,19647681,https://population.un.org/wpp/Download/Standard/CSV/
MYS,Malaysia,2021,32776195,https://population.un.org/wpp/Download/Standard/CSV/
MDV,Maldives,2021,543620,https://population.un.org/wpp/Download/Standard/CSV/
MLI,Mali,2021,20855724,https://population.un.org/wpp/Download/Standard/CSV/
MLT,Malta,2021,516100,https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
MHL,Marshall Islands,2021,59618,https://population.un.org/wpp/Download/Standard/CSV/
MRT,Mauritania,2021,4775110,https://population.un.org/wpp/Download/Standard/CSV/
MUS,Mauritius,2021,1273428,https://population.un.org/wpp/Download/Standard/CSV/
MEX,Mexico,2021,130262220,https://population.un.org/wpp/Download/Standard/CSV/
FSM,Micronesia (country),2021,116255,https://population.un.org/wpp/Download/Standard/CSV/
MDA,Moldova,2021,4024025,https://population.un.org/wpp/Download/Standard/CSV/
MCO,Monaco,2021,39520,https://population.un.org/wpp/Download/Standard/CSV/
MNG,Mongolia,2021,3329282,https://population.un.org/wpp/Download/Standard/CSV/
MNE,Montenegro,2021,628051,https://population.un.org/wpp/Download/Standard/CSV/
MSR,Montserrat,2021,4981,https://population.un.org/wpp/Download/Standard/CSV/
MAR,Morocco,2021,37344787,https://population.un.org/wpp/Download/Standard/CSV/
MOZ,Mozambique,2021,32163045,https://population.un.org/wpp/Download/Standard/CSV/
MMR,Myanmar,2021,54806014,https://population.un.org/wpp/Download/Standard/CSV/
NAM,Namibia,2021,2587344,https://population.un.org/wpp/Download/Standard/CSV/
NRU,Nauru,2021,10873,https://population.un.org/wpp/Download/Standard/CSV/
NPL,Nepal,2021,29674920,https://population.un.org/wpp/Download/Standard/CSV/
NLD,Netherlands,2021,17173094,https://population.un.org/wpp/Download/Standard/CSV/
NCL,New Caledonia,2021,288217,https://population.un.org/wpp/Download/Standard/CSV/
NZL,New Zealand,2021,5126300,https://www.stats.govt.nz/indicators/population-of-nz
NIC,Nicaragua,2021,6702379,https://population.un.org/wpp/Download/Standard/CSV/
NER,Niger,2021,25130810,https://population.un.org/wpp/Download/Standard/CSV/
NGA,Nigeria,2021,211400704,https://population.un.org/wpp/Download/Standard/CSV/
NIU,Niue,2021,1614,https://population.un.org/wpp/Download/Standard/CSV/
OWID_NAM,North America,2021,596581283,https://population.un.org/wpp/Download/Standard/CSV/
PRK,North Korea,2021,25887045,https://population.un.org/wpp/Download/Standard/CSV/
MKD,North Macedonia,2021,2082661,https://population.un.org/wpp/Download/Standard/CSV/
MNP,Northern Mariana Islands,2021,57910,https://population.un.org/wpp/Download/Standard/CSV/
NOR,Norway,2021,5465629,https://population.un.org/wpp/Download/Standard/CSV/
OWID_OCE,Oceania,2021,43219954,https://population.un.org/wpp/Download/Standard/CSV/
OMN,Oman,2021,5223376,https://population.un.org/wpp/Download/Standard/CSV/
PAK,Pakistan,2021,225199929,https://population.un.org/wpp/Download/Standard/CSV/
PLW,Palau,2021,18174,https://population.un.org/wpp/Download/Standard/CSV/
PSE,Palestine,2021,5222756,https://population.un.org/wpp/Download/Standard/CSV/
PAN,Panama,2021,4381583,https://population.un.org/wpp/Download/Standard/CSV/
PNG,Papua New Guinea,2021,9119005,https://population.un.org/wpp/Download/Standard/CSV/
PRY,Paraguay,2021,7219641,https://population.un.org/wpp/Download/Standard/CSV/
PER,Peru,2021,33359415,https://population.un.org/wpp/Download/Standard/CSV/
PHL,Philippines,2021,111046910,https://population.un.org/wpp/Download/Standard/CSV/
PCN,Pitcairn,2021,47,https://www.bbc.com/news/uk-56923016
POL,Poland,2021,37797000,https://population.un.org/wpp/Download/Standard/CSV/
PRT,Portugal,2021,10167923,https://population.un.org/wpp/Download/Standard/CSV/
PRI,Puerto Rico,2021,2828246,https://population.un.org/wpp/Download/Standard/CSV/
QAT,Qatar,2021,2930524,https://population.un.org/wpp/Download/Standard/CSV/
ROU,Romania,2021,19127772,https://population.un.org/wpp/Download/Standard/CSV/
RUS,Russia,2021,145912022,https://population.un.org/wpp/Download/Standard/CSV/
RWA,Rwanda,2021,13276517,https://population.un.org/wpp/Download/Standard/CSV/
SHN,Saint Helena,2021,6095,https://population.un.org/wpp/Download/Standard/CSV/
KNA,Saint Kitts and Nevis,2021,53546,https://population.un.org/wpp/Download/Standard/CSV/
LCA,Saint Lucia,2021,184401,https://population.un.org/wpp/Download/Standard/CSV/
SPM,Saint Pierre and Miquelon,2021,5771,https://population.un.org/wpp/Download/Standard/CSV/
VCT,Saint Vincent and the Grenadines,2021,111269,https://population.un.org/wpp/Download/Standard/CSV/
WSM,Samoa,2021,200144,https://population.un.org/wpp/Download/Standard/CSV/
SMR,San Marino,2021,34010,https://population.un.org/wpp/Download/Standard/CSV/
STP,Sao Tome and Principe,2021,223364,https://population.un.org/wpp/Download/Standard/CSV/
SAU,Saudi Arabia,2021,35340680,https://population.un.org/wpp/Download/Standard/CSV/
SEN,Senegal,2021,17196308,https://population.un.org/wpp/Download/Standard/CSV/
SRB,Serbia,2021,6871547,https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
SYC,Seychelles,2021,98910,https://population.un.org/wpp/Download/Standard/CSV/
SLE,Sierra Leone,2021,8141343,https://population.un.org/wpp/Download/Standard/CSV/
SGP,Singapore,2021,5453600,https://www.singstat.gov.sg/find-data/search-by-theme/population/population-and-population-structure/latest-data
SXM,Sint Maarten (Dutch part),2021,43421,https://population.un.org/wpp/Download/Standard/CSV/
SVK,Slovakia,2021,5449270,https://www.scitanie.sk/en
SVN,Slovenia,2021,2078723,https://population.un.org/wpp/Download/Standard/CSV/
SLB,Solomon Islands,2021,703995,https://population.un.org/wpp/Download/Standard/CSV/
SOM,Somalia,2021,16359500,https://population.un.org/wpp/Download/Standard/CSV/
ZAF,South Africa,2021,60041996,https://population.un.org/wpp/Download/Standard/CSV/
OWID_SAM,South America,2021,434260137,https://population.un.org/wpp/Download/Standard/CSV/
KOR,South Korea,2021,51305184,https://population.un.org/wpp/Download/Standard/CSV/
SSD,South Sudan,2021,11381377,https://population.un.org/wpp/Download/Standard/CSV/
ESP,Spain,2021,46745211,https://population.un.org/wpp/Download/Standard/CSV/
LKA,Sri Lanka,2021,21497306,https://population.un.org/wpp/Download/Standard/CSV/
SDN,Sudan,2021,44909351,https://population.un.org/wpp/Download/Standard/CSV/
SUR,Suriname,2021,591798,https://population.un.org/wpp/Download/Standard/CSV/
SWE,Sweden,2021,10160159,https://population.un.org/wpp/Download/Standard/CSV/
CHE,Switzerland,2021,8715494,https://population.un.org/wpp/Download/Standard/CSV/
SYR,Syria,2021,18275704,https://population.un.org/wpp/Download/Standard/CSV/
TWN,Taiwan,2021,23855008,https://population.un.org/wpp/Download/Standard/CSV/
TJK,Tajikistan,2021,9749625,https://population.un.org/wpp/Download/Standard/CSV/
TZA,Tanzania,2021,61498438,https://population.un.org/wpp/Download/Standard/CSV/
THA,Thailand,2021,69950844,https://population.un.org/wpp/Download/Standard/CSV/
TLS,Timor,2021,1343875,https://population.un.org/wpp/Download/Standard/CSV/
TGO,Togo,2021,8478242,https://population.un.org/wpp/Download/Standard/CSV/
TKL,Tokelau,2021,1368,https://population.un.org/wpp/Download/Standard/CSV/
TON,Tonga,2021,106759,https://population.un.org/wpp/Download/Standard/CSV/
TTO,Trinidad and Tobago,2021,1403374,https://population.un.org/wpp/Download/Standard/CSV/
TUN,Tunisia,2021,11935764,https://population.un.org/wpp/Download/Standard/CSV/
TUR,Turkey,2021,85042736,https://population.un.org/wpp/Download/Standard/CSV/
TKM,Turkmenistan,2021,6117933,https://population.un.org/wpp/Download/Standard/CSV/
TCA,Turks and Caicos Islands,2021,39226,https://population.un.org/wpp/Download/Standard/CSV/
TUV,Tuvalu,2021,11925,https://population.un.org/wpp/Download/Standard/CSV/
UGA,Uganda,2021,47123533,https://population.un.org/wpp/Download/Standard/CSV/
UKR,Ukraine,2021,43466822,https://population.un.org/wpp/Download/Standard/CSV/
ARE,United Arab Emirates,2021,9991083,https://population.un.org/wpp/Download/Standard/CSV/
GBR,United Kingdom,2021,68207114,https://population.un.org/wpp/Download/Standard/CSV/
USA,United States,2021,332915074,https://population.un.org/wpp/Download/Standard/CSV/
VIR,United States Virgin Islands,2021,104218,https://population.un.org/wpp/Download/Standard/CSV/
OWID_UMC,Upper middle income,2021,2513672790,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=XM-XD-XT-XN
URY,Uruguay,2021,3485152,https://population.un.org/wpp/Download/Standard/CSV/
UZB,Uzbekistan,2021,33935765,https://population.un.org/wpp/Download/Standard/CSV/
VUT,Vanuatu,2021,314464,https://population.un.org/wpp/Download/Standard/CSV/
VAT,Vatican,2021,812,https://population.un.org/wpp/Download/Standard/CSV/
VEN,Venezuela,2021,28704947,https://population.un.org/wpp/Download/Standard/CSV/
VNM,Vietnam,2021,98168829,https://population.un.org/wpp/Download/Standard/CSV/
WLF,Wallis and Futuna,2021,11094,https://population.un.org/wpp/Download/Standard/CSV/
ESH,Western Sahara,2021,611872,https://population.un.org/wpp/Download/Standard/CSV/
OWID_WRL,World,2021,7874965730,https://population.un.org/wpp/Download/Standard/CSV/
OWID_WEC,World excl. China,2021,6430749628,https://population.un.org/wpp/Download/Standard/CSV/
YEM,Yemen,2021,30490639,https://population.un.org/wpp/Download/Standard/CSV/
ZMB,Zambia,2021,18920657,https://population.un.org/wpp/Download/Standard/CSV/
ZWE,Zimbabwe,2021,15092171,https://population.un.org/wpp/Download/Standard/CSV/
